isBot,statistics_type,ip,query,dns,userAgent,referrer,uid,rpp,sortOrder,sortBy,time,page,epersonid
false,search,200.129.158.5,ALFABETIZAÇÃO E LETRAMENTO NA EDUCAÇÃO INFANTIL,200.129.158.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=ALFABETIZA%C3%87%C3%83O%20E%20LETRAMENTO%20NA%20EDUCA%C3%87%C3%83O%20INFANTIL,39055854-6c71-49b8-a3f1-f21d6a403c53,0,desc,score,2023-04-11T17:38:53.655Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,200.129.158.5,Alfabetização e letramento na educação infantil: concepções e metas,200.129.158.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=Alfabetiza%C3%A7%C3%A3o%20e%20letramento%20na%20educa%C3%A7%C3%A3o%20infantil:%20concep%C3%A7%C3%B5es%20e%20metas,521a0281-d615-4005-8462-b332d460b6f6,0,desc,score,2023-04-11T17:42:39.364Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,200.129.158.5,ALFABETIZAÇÃO E LETRAMENTO NA EDUCAÇÃO INFANTIL,200.129.158.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=ALFABETIZA%C3%87%C3%83O%20E%20LETRAMENTO%20NA%20EDUCA%C3%87%C3%83O%20INFANTIL,eba93dad-2d8f-4fb1-a570-bb3b85e08d57,0,desc,score,2023-04-11T17:44:12.095Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,186.233.92.178,valeria,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=valeria,2dd7d78d-1e6e-4fbe-9e8b-8fef87a8ea60,0,desc,score,2023-04-12T18:40:45.088Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,186.233.92.178,gisele,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=gisele,4b87d6d0-77ba-4319-b368-7134559cbc19,0,desc,score,2023-04-12T18:41:20.152Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,186.233.92.178,o lúdico,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=o%20l%C3%BAdico,2979de01-8dfb-4fa4-8f49-624302feb314,0,desc,score,2023-04-12T18:41:30.266Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,186.233.92.178,o lúdico,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=o%20l%C3%BAdico,cb8817f5-d94a-4320-aedb-6e70ef01b3f5,0,desc,score,2023-04-12T18:50:15.832Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,186.233.92.178,gisele,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=gisele,89f74e92-affd-4aaa-be27-185e3f018089,0,desc,score,2023-04-12T18:50:25.910Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,186.233.92.178,valeria,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=valeria,6007c782-e2d2-4039-bdef-3e2d98121f7f,0,desc,score,2023-04-12T18:16:32.648Z,1,
false,search,186.233.92.178,valeria,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=valeria,8ec6d007-ae5d-496a-9fd0-d17706881173,0,desc,score,2023-04-12T18:27:49.533Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,186.233.92.178,gisele,186.233.92.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=gisele,90638895-3ec5-45e2-a048-796dfd79593b,0,desc,score,2023-04-12T18:30:30.484Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
