isBot,statistics_type,ip,query,dns,userAgent,referrer,uid,rpp,sortOrder,sortBy,time,page,epersonid
false,search,189.49.186.66,Universidade Estadual do Sudoeste da Bahia,189-49-186-66.user3p.veloxzone.com.br,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",https://ri.fbnovas.edu.br/search?query=Universidade%20Estadual%20do%20Sudoeste%20da%20Bahia,9006440b-b3d6-4080-a4bc-39ce15231768,0,desc,score,2023-02-14T23:53:40.028Z,1,2b3cfe8e-79fe-4ad4-878b-97daab121f25
false,search,189.49.186.66,Leite,189-49-186-66.user3p.veloxzone.com.br,"Mozilla/5.0 (Linux; Android 11; M2006C3LG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",https://ri.fbnovas.edu.br/search?query=Leite,169681c5-f9f2-4cec-801d-7610af92e8e6,0,desc,score,2023-02-13T02:13:21.928Z,1,
false,search,189.49.186.66,,189-49-186-66.user3p.veloxzone.com.br,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",http://localhost:4000/,2d40c224-e7de-45d9-a7f0-5a6b4e70f8a0,0,desc,dc.date.accessioned,2023-02-12T20:47:38.286Z,1,
